AvgTemp,mon,YEAR,DISTRICT,STATE,PotentialEvapTran,Precipitation,SPI,VapourPres,WetDayFreq,CLASS
22.669,Jan,1972,ANATAPUR,ANDHRA PRADESH,6.09,0,-1.35,15.098,0,0
25.081,Feb,1972,ANATAPUR,ANDHRA PRADESH,6.84,2.096,-1.12,15.195,0.681,0
27.498,Mar,1972,ANATAPUR,ANDHRA PRADESH,7.62,1.482,-0.27,15.542,0.754,0
30.161,Apr,1972,ANATAPUR,ANDHRA PRADESH,7.97,5.901,0.18,19.614,1.201,0
29.437,May,1972,ANATAPUR,ANDHRA PRADESH,7.85,131.744,-0.28,21.053,5.813,0
26.908,Jun,1972,ANATAPUR,ANDHRA PRADESH,6.42,24.232,-0.2,22.804,2.876,0
25.771,Jul,1972,ANATAPUR,ANDHRA PRADESH,5.54,58.325,-0.48,22.541,5.483,0
25.034,Aug,1972,ANATAPUR,ANDHRA PRADESH,5.48,56.143,-0.76,22.499,6.128,0
25.216,Sep,1972,ANATAPUR,ANDHRA PRADESH,5.84,53.676,-1.43,22.426,4.843,0
24.434,Oct,1972,ANATAPUR,ANDHRA PRADESH,5.65,142.359,-0.91,21.331,5.874,0
22.167,Nov,1972,ANATAPUR,ANDHRA PRADESH,5.51,0.462,-1.91,17.23,0.462,1
22.171,Dec,1972,ANATAPUR,ANDHRA PRADESH,5.43,32.811,-1.35,16.431,1.942,0
22.624,Jan,1973,ANATAPUR,ANDHRA PRADESH,5.93,0.047,-1.35,15.131,0.036,0
24.641,Feb,1973,ANATAPUR,ANDHRA PRADESH,6.8,0,-1.12,15.249,0,0
28.771,Mar,1973,ANATAPUR,ANDHRA PRADESH,7.7,0,-0.27,16.785,0,0
29.209,Apr,1973,ANATAPUR,ANDHRA PRADESH,7.95,60.898,0.18,18.917,3.269,0
30.718,May,1973,ANATAPUR,ANDHRA PRADESH,7.87,16.705,-0.28,21.883,2.054,0
27.721,Jun,1973,ANATAPUR,ANDHRA PRADESH,6.45,63.142,-0.71,23.686,3.949,0
25.203,Jul,1973,ANATAPUR,ANDHRA PRADESH,5.49,146.955,0.58,22.534,7.869,0
24.891,Aug,1973,ANATAPUR,ANDHRA PRADESH,5.51,34.908,-0.14,22.499,5.218,0
24.848,Sep,1973,ANATAPUR,ANDHRA PRADESH,5.8,186.616,0.4,22.487,6.098,0
24.867,Oct,1973,ANATAPUR,ANDHRA PRADESH,5.67,337.638,1.49,21.331,9.348,0
22.431,Nov,1973,ANATAPUR,ANDHRA PRADESH,5.52,1.416,1.68,17.7,0.759,0
21.196,Dec,1973,ANATAPUR,ANDHRA PRADESH,5.45,0,1.66,15.428,0,0
22.587,Jan,1974,ANATAPUR,ANDHRA PRADESH,5.91,0.724,1.25,15.051,0.253,0
25.291,Feb,1974,ANATAPUR,ANDHRA PRADESH,6.85,0,1.7,15.284,0,0
27.301,Mar,1974,ANATAPUR,ANDHRA PRADESH,7.64,4.612,1.73,15.715,0.997,0
30.175,Apr,1974,ANATAPUR,ANDHRA PRADESH,7.97,18.988,-1.98,19.684,1.949,1
29.717,May,1974,ANATAPUR,ANDHRA PRADESH,7.86,76.478,-0.5,21.241,5.298,0
26.711,Jun,1974,ANATAPUR,ANDHRA PRADESH,6.35,34.127,-0.84,22.873,2.797,0
24.603,Jul,1974,ANATAPUR,ANDHRA PRADESH,5.45,117.703,0.01,22.561,8.246,0
24.743,Aug,1974,ANATAPUR,ANDHRA PRADESH,5.47,98.968,0.22,22.499,7.275,0
24.388,Sep,1974,ANATAPUR,ANDHRA PRADESH,5.75,47.19,-0.72,21.624,4.718,0
23.901,Oct,1974,ANATAPUR,ANDHRA PRADESH,5.6,146.336,-0.44,20.244,7.854,0
21.812,Nov,1974,ANATAPUR,ANDHRA PRADESH,5.5,0.462,-0.8,17.122,0.462,0
22.033,Dec,1974,ANATAPUR,ANDHRA PRADESH,5.42,11.568,-0.56,16.348,1.944,0
22.415,Jan,1975,ANATAPUR,ANDHRA PRADESH,5.9,0.058,-1.12,15.056,0.036,0
25.178,Feb,1975,ANATAPUR,ANDHRA PRADESH,6.78,0.001,-1.44,15.195,0.001,0
27.57,Mar,1975,ANATAPUR,ANDHRA PRADESH,7.62,11.111,-0.36,15.715,1.273,0
29.293,Apr,1975,ANATAPUR,ANDHRA PRADESH,7.99,39.893,-0.58,19.665,2.334,0
28.127,May,1975,ANATAPUR,ANDHRA PRADESH,7.67,177.616,1.93,19.625,7.955,0
26.18,Jun,1975,ANATAPUR,ANDHRA PRADESH,6.11,43.025,1.56,22.854,3.646,0
25.016,Jul,1975,ANATAPUR,ANDHRA PRADESH,5.43,47.532,1.04,22.534,5.517,0
23.97,Aug,1975,ANATAPUR,ANDHRA PRADESH,5.38,117.465,1.21,21.061,7.695,0
